35, Deleted path: 95, deletedWindow: 4, totalWindow: 304, m_inFlight[]: 4
7	contentNum: 2	timeTemp: 11.1254, contentTotal: 2, avg comp time: 13.326, m_totalWindow: 336, sumOfWindow: 336
35, Deleted path: 39, deletedWindow: 1, totalWindow: 327, m_inFlight[]: 0
35, Deleted path: 0, deletedWindow: 3, totalWindow: 368, m_inFlight[]: 3
35, Deleted path: 54, deletedWindow: 1, totalWindow: 375, m_inFlight[]: 0
35	contentNum: 3	timeTemp: 13.7418, contentTotal: 2, avg comp time: 14.6575, m_totalWindow: 394, sumOfWindow: 394
21, Deleted path: 95, deletedWindow: 2, totalWindow: 170, m_inFlight[]: 3
21, Deleted path: 14, deletedWindow: 1, totalWindow: 209, m_inFlight[]: 3
7, Deleted path: 95, deletedWindow: 1, totalWindow: 40, m_inFlight[]: 3
7, Deleted path: 0, deletedWindow: 4, totalWindow: 48, m_inFlight[]: 4
21, Deleted path: 35, deletedWindow: 1, totalWindow: 314, m_inFlight[]: 2
21, Deleted path: 54, deletedWindow: 3, totalWindow: 303, m_inFlight[]: 3
7, Deleted path: 73, deletedWindow: 1, totalWindow: 95, m_inFlight[]: 2
21, Deleted path: 95, deletedWindow: 3, totalWindow: 363, m_inFlight[]: 3
7, Deleted path: 95, deletedWindow: 4, totalWindow: 96, m_inFlight[]: 4
21, Deleted path: 35, deletedWindow: 1, totalWindow: 408, m_inFlight[]: 0
7, Deleted path: 35, deletedWindow: 3, totalWindow: 143, m_inFlight[]: 3
21, Deleted path: 54, deletedWindow: 6, totalWindow: 409, m_inFlight[]: 6
7, Deleted path: 39, deletedWindow: 1, totalWindow: 147, m_inFlight[]: 1
21, Deleted path: 95, deletedWindow: 1, totalWindow: 387, m_inFlight[]: 3
21, Deleted path: 54, deletedWindow: 1, totalWindow: 387, m_inFlight[]: 0
7, Deleted path: 0, deletedWindow: 6, totalWindow: 190, m_inFlight[]: 6
21, Deleted path: 54, deletedWindow: 1, totalWindow: 417, m_inFlight[]: 0
7, Deleted path: 95, deletedWindow: 4, totalWindow: 173, m_inFlight[]: 4
7, Deleted path: 73, deletedWindow: 1, totalWindow: 176, m_inFlight[]: 0
