???Consumer setting starts35	timeTemp: 31.8267, contentTotal: 0, avg comp time: 31.8267
14	timeTemp: 31.8414, contentTotal: 30, avg comp time: 31.7967
35	timeTemp: 31.8418, contentTotal: 30, avg comp time: 31.7103
7	timeTemp: 31.8425, contentTotal: 30, avg comp time: 31.7726
42	timeTemp: 31.8425, contentTotal: 30, avg comp time: 31.8411
28	timeTemp: 31.8492, contentTotal: 31, avg comp time: 31.7742
0	timeTemp: 31.85, contentTotal: 31, avg comp time: 31.699
35	timeTemp: 31.8565, contentTotal: 31, avg comp time: 31.7149
14	timeTemp: 31.8434, contentTotal: 31, avg comp time: 31.7982
7	timeTemp: 31.8278, contentTotal: 31, avg comp time: 31.7743
42	timeTemp: 31.8416, contentTotal: 31, avg comp time: 31.8411
28	timeTemp: 31.8576, contentTotal: 32, avg comp time: 31.7767
0	timeTemp: 31.85, contentTotal: 32, avg comp time: 31.7036
14	timeTemp: 31.8347, contentTotal: 32, avg comp time: 31.7993
35	timeTemp: 31.8342, contentTotal: 32, avg comp time: 31.7185
7	timeTemp: 31.8339, contentTotal: 32, avg comp time: 31.7761
28	timeTemp: 31.8495, contentTotal: 33, avg comp time: 31.7789
0	timeTemp: 31.8425, contentTotal: 33, avg comp time: 31.7077
14	timeTemp: 31.8506, contentTotal: 33, avg comp time: 31.8008
42	timeTemp: 31.8434, contentTotal: 32, avg comp time: 31.8412
35	timeTemp: 31.8268, contentTotal: 33, avg comp time: 31.7217
7	timeTemp: 31.8436, contentTotal: 33, avg comp time: 31.7781
28	timeTemp: 31.8355, contentTotal: 34, avg comp time: 31.7805
0	timeTemp: 31.8413, contentTotal: 34, avg comp time: 31.7115
42	timeTemp: 31.8415, contentTotal: 33, avg comp time: 31.8412
14	timeTemp: 31.8574, contentTotal: 34, avg comp time: 31.8024
35	timeTemp: 31.8499, contentTotal: 34, avg comp time: 31.7253
7	timeTemp: 31.8427, contentTotal: 34, avg comp time: 31.78
28	timeTemp: 31.8426, contentTotal: 35, avg comp time: 31.7822
0	timeTemp: 31.8278, contentTotal: 35, avg comp time: 31.7147
42	timeTemp: 31.828, contentTotal: 34, avg comp time: 31.8408
14	timeTemp: 31.85, contentTotal: 35, avg comp time: 31.8037
35	timeTemp: 31.8504, contentTotal: 35, avg comp time: 31.7288
7	timeTemp: 31.8414, contentTotal: 35, avg comp time: 31.7817
28	timeTemp: 31.85, contentTotal: 36, avg comp time: 31.784
0	timeTemp: 31.8343, contentTotal: 36, avg comp time: 31.7179
42	timeTemp: 31.8414, contentTotal: 35, avg comp time: 31.8408
14	timeTemp: 31.8415, contentTotal: 36, avg comp time: 31.8048
35	timeTemp: 31.8421, contentTotal: 36, avg comp time: 31.7319
7	timeTemp: 31.8436, contentTotal: 36, avg comp time: 31.7833
28	timeTemp: 31.842, contentTotal: 37, avg comp time: 31.7856
0	timeTemp: 30.8211, contentTotal: 37, avg comp time: 31.6943
42	timeTemp: 31.8501, contentTotal: 36, avg comp time: 31.8411
14	timeTemp: 31.8282, contentTotal: 37, avg comp time: 31.8054
35	timeTemp: 31.8417, contentTotal: 37, avg comp time: 31.7348
28	timeTemp: 31.8425, contentTotal: 38, avg comp time: 31.787
7	timeTemp: 31.8345, contentTotal: 37, avg comp time: 31.7847
0	timeTemp: 31.8498, contentTotal: 38, avg comp time: 31.6983
42	timeTemp: 31.8503, contentTotal: 37, avg comp time: 31.8413
14	timeTemp: 31.857, contentTotal: 38, avg comp time: 31.8067
35	timeTemp: 31.8278, contentTotal: 38, avg comp time: 31.7371
28	timeTemp: 31.8436, contentTotal: 39, avg comp time: 31.7884
7	timeTemp: 31.8416, contentTotal: 38, avg comp time: 31.7861
0	timeTemp: 31.8347, contentTotal: 39, avg comp time: 31.7017
42	timeTemp: 31.8572, contentTotal: 38, avg comp time: 31.8417
14	timeTemp: 31.8567, contentTotal: 39, avg comp time: 31.8079
35	timeTemp: 31.857, contentTotal: 39, avg comp time: 31.7401
28	timeTemp: 31.8397, contentTotal: 40, avg comp time: 31.7897
7	timeTemp: 31.857, contentTotal: 39, avg comp time: 31.7879
42	timeTemp: 31.8434, contentTotal: 39, avg comp time: 31.8418
0	timeTemp: 31.8273, contentTotal: 40, avg comp time: 31.7048
14	timeTemp: 31.8424, contentTotal: 40, avg comp time: 31.8088
35	timeTemp: 31.8568, contentTotal: 40, avg comp time: 31.743
28	timeTemp: 31.8418, contentTotal: 41, avg comp time: 31.7909
7	timeTemp: 31.8496, contentTotal: 40, avg comp time: 31.7894
42	timeTemp: 31.8564, contentTotal: 40, avg comp time: 31.8421
0	timeTemp: 31.85, contentTotal: 41, avg comp time: 31.7083
14	timeTemp: 31.8575, contentTotal: 41, avg comp time: 31.8099
35	timeTemp: 31.8496, contentTotal: 41, avg comp time: 31.7455
28	timeTemp: 31.834, contentTotal: 42, avg comp time: 31.7919
42	timeTemp: 31.8342, contentTotal: 41, avg comp time: 31.8419
7	timeTemp: 31.8341, contentTotal: 41, avg comp time: 31.7905
14	timeTemp: 31.8564, contentTotal: 42, avg comp time: 31.811
0	timeTemp: 31.8417, contentTotal: 42, avg comp time: 31.7114
35	timeTemp: 31.8273, contentTotal: 42, avg comp time: 31.7474
28	timeTemp: 31.8578, contentTotal: 43, avg comp time: 31.7934
42	timeTemp: 31.2765, contentTotal: 42, avg comp time: 31.8288
14	timeTemp: 31.843, contentTotal: 43, avg comp time: 31.8118
7	timeTemp: 31.8427, contentTotal: 42, avg comp time: 31.7917
35	timeTemp: 31.8418, contentTotal: 43, avg comp time: 31.7496
0	timeTemp: 31.8431, contentTotal: 43, avg comp time: 31.7144
42	timeTemp: 31.8422, contentTotal: 43, avg comp time: 31.8291
