Path delete. m_index: 0, deleted path: 49, deletedWindow: 10, totalWindow: 1644, m_inFlight[]: 10, totalInFlight: 1703, m_pathWindow:  63
BranchIndex: 42, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 43, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 44, m_window[]: 63, m_inFlight[]: 63
BranchIndex: 45, m_window[]: 38, m_inFlight[]: 38
BranchIndex: 46, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 47, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 48, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 49, m_window[]: 17, m_inFlight[]: 17
BranchIndex: 50, m_window[]: 52, m_inFlight[]: 52
BranchIndex: 51, m_window[]: 14, m_inFlight[]: 14
BranchIndex: 52, m_window[]: 47, m_inFlight[]: 47
BranchIndex: 53, m_window[]: 8, m_inFlight[]: 8
BranchIndex: 54, m_window[]: 43, m_inFlight[]: 43
BranchIndex: 55, m_window[]: 38, m_inFlight[]: 38
BranchIndex: 56, m_window[]: 7, m_inFlight[]: 7
BranchIndex: 57, m_window[]: 12, m_inFlight[]: 12
BranchIndex: 58, m_window[]: 2, m_inFlight[]: 2
BranchIndex: 59, m_window[]: 18, m_inFlight[]: 18
BranchIndex: 60, m_window[]: 31, m_inFlight[]: 31
BranchIndex: 61, m_window[]: 7, m_inFlight[]: 12
BranchIndex: 62, m_window[]: 31, m_inFlight[]: 31
BranchIndex: 63, m_window[]: 70, m_inFlight[]: 70
BranchIndex: 64, m_window[]: 71, m_inFlight[]: 71
BranchIndex: 65, m_window[]: 52, m_inFlight[]: 52
BranchIndex: 66, m_window[]: 26, m_inFlight[]: 42
BranchIndex: 67, m_window[]: 9, m_inFlight[]: 9
BranchIndex: 68, m_window[]: 54, m_inFlight[]: 54
BranchIndex: 69, m_window[]: 15, m_inFlight[]: 15
BranchIndex: 70, m_window[]: 26, m_inFlight[]: 26
BranchIndex: 71, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 72, m_window[]: 33, m_inFlight[]: 33
BranchIndex: 73, m_window[]: 5, m_inFlight[]: 5
BranchIndex: 74, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 75, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 76, m_window[]: 0, m_inFlight[]: 0
BranchIndex: 77, m_window[]: 9, m_inFlight[]: 9
